,date,time,current_team,opponent,game_result,team_score,opp_score,spread_result,spread,ou_result,ou_line,year
308,2015-10-11,1:02,BAL,TEN,W,14,13,P,-1.0,U,42,2015
309,2015-10-18,1:02,BAL,CIN,L,21,34,L,3.0,O,43,2015
310,2015-10-25,8:35,BAL,JAX,L,31,34,L,-4.0,O,41,2015
311,2015-11-8,1:02,BAL,MIA,W,33,17,W,-3.0,O,44,2015
312,2015-11-12,8:26,BAL,NYJ,W,22,17,W,2.5,U,42.5,2015
313,2015-11-23,8:30,BAL,NWE,L,13,20,P,7.0,U,48,2015
314,2015-11-29,1:02,BAL,KAN,L,22,30,L,5.5,O,41.5,2015
315,2015-12-6,1:02,BAL,HOU,W,30,21,W,-3.5,O,41.5,2015
316,2015-12-13,1:00,BAL,PHI,L,20,23,L,1.0,U,47,2015
317,2015-12-20,1:02,BAL,WAS,L,25,35,L,-2.5,O,44,2015
318,2015-12-27,1:02,BAL,DAL,W,16,6,W,-6.5,U,42,2015
319,2016-01-3,1:02,BAL,NYJ,W,22,17,W,3.0,U,42,2016
320,2014-09-7,1:00,BAL,CHI,W,23,20,W,7.0,U,47,2014
321,2014-09-14,1:02,BAL,MIA,W,29,10,W,-1.5,U,42.5,2014
322,2014-09-21,1:02,BAL,LAC,L,10,22,L,-2.5,U,45.5,2014
323,2014-09-28,1:02,BAL,HOU,L,17,23,L,3.0,U,42.5,2014
324,2014-10-5,1:02,BAL,DET,W,17,14,W,6.5,U,43,2014
325,2014-10-12,1:02,BAL,NWE,L,22,37,L,-1.0,O,44,2014
326,2014-10-19,1:02,BAL,MIN,W,17,16,L,-6.5,U,43.5,2014
327,2014-10-26,1:02,BAL,NYJ,W,43,23,W,3.0,O,40.5,2014
328,2014-11-9,1:02,BAL,KAN,L,13,17,L,-1.5,U,42,2014
329,2014-11-13,8:26,BAL,MIA,L,9,22,L,5.0,U,42,2014
330,2014-11-24,7:05,BAL,NYJ,W,38,3,W,-2.5,U,42.5,2014
331,2014-11-30,1:02,BAL,CLE,W,26,10,W,-3.0,U,42,2014
